Symbol;Address;Comment
Pos_Pieza;I0.0;Sensor fotoelectrico (presencia de pieza)
Pinza_Cerrada;I0.1;Sensor indicador de cilindro de dedo Cerrado (pinza)
Cil_Lrg_Ext;I0.2;Sensor indicador de cilindro largo extendido
Cil_Lrg_Ret;I0.3;Sensor indicador de cilindro largo retraido
Cil_Del_Ret;I0.4;Cilindro delgado retraido (hacia arriba)
Cil_Del_Ext;I0.5;Cilindro delgado extendido (hacia abajo)
Btn_Paro;I1.2;Pulsador de paro (rojo)
Btn_Marcha;I1.3;Pulsador de marcha (verde)
Seta_Emerg;I1.4;Zeta de emergencia
Selector_Rot;I1.5;Selector rotatorio
V_Pinza;Q0.0;Valvula del cilindro de dedo (pinza)
V_Cil_Lrg;Q0.2;Valvula cilindro largo
V_Cil_Del;Q0.3;Valvula cilindro delgado
Lamp_Amarilla;Q0.7;Lampara de senalizacion amarilla (falla o advertencia)
Lamp_Verde;Q1.0;Lampara de senalizacion verde (marcha)
Lamp_Roja;Q1.1;Lampara de senalizacion roja (paro o falla)
P0_Reposo;M0.0;Estado de espera inicial
P1_Sujecion;M0.1;Estado de sujecion de la pieza
P2_Traslacion_In;M0.2;Estado de desplazamiento del carro hacia la prensa
P3_Prensado_Baja;M0.3;Estado de mecanizado (prensa desciende)
P4_Prensado_Sube;M0.4;Estado de retorno de la prensa
P5_Traslacion_Out;M0.5;Estado de retorno del carro
T0_Inicio;M1.0;Transicion Inicio Ciclo
T1_Sujeto;M1.1;Transicion Sujecion OK
T2_Carro_Prensa;M1.2;Transicion Carro en Prensa
T3_Prensa_Abajo;M1.3;Transicion Prensa Abajo
T4_Prensa_Arriba;M1.4;Transicion Prensa Arriba
T5_Carro_Origen;M1.5;Transicion Carro en Origen
Ev_Marcha;M2.0;Evento Marcha presionado y Seta OK
Ev_Pieza;M2.1;Evento Pieza en recepcion detectada
Ev_Pinza_Cer;M2.2;Evento Pinza cerrada
Ev_CilL_Ext;M2.3;Evento Cilindro largo extendido (Origen)
Ev_CilL_Ret;M2.4;Evento Cilindro largo retraido (Prensa)
Ev_CilD_Ext;M2.5;Evento Cilindro delgado extendido (Abajo)
Ev_CilD_Ret;M2.6;Evento Cilindro delgado retraido (Arriba)
Sol_PE;V0.0;Solicitud Procesamiento a Ensamblaje
Ack_Sol_PE;V1.0;Reconocimiento PE
Ack_MP;V0.1;Reconocimiento marcha Unidad de Procesammiento
Marcha_P;V1.1;Solicitud de marcha para la Unidad de Procesamiento
Proc_OK;V0.2;Unidad de procesamiento disponible
